1 	DE 	1 	1 	1 	2 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1
29 	IA 	– 	– 	– 	– 	– 	– 	– 	2 	6 	9 	11 	11 	11 	11 	9 	8 	8 	7 	6 	6 	5 	5 	4 	4
30 	WI 	– 	– 	– 	– 	– 	– 	– 	3 	6 	8 	9 	10 	11 	11 	10 	10 	10 	10 	9 	9 	9 	8 	8 	8
31 	CA 	– 	– 	– 	– 	– 	– 	– 	2 	3 	4 	6 	7 	8 	11 	20 	23 	30 	38 	43 	45 	52 	53 	53 	52
32 	MN 	– 	– 	– 	– 	– 	– 	– 	– 	2 	3 	5 	7 	9 	10 	9 	9 	9 	8 	8 	8 	8 	8 	8 	8
33 	OR 	– 	– 	– 	– 	– 	– 	– 	– 	1 	1 	1 	2 	2 	3 	3 	4 	4 	4 	4 	5 	5 	5 	5 	6
34 	KS 	– 	– 	– 	– 	– 	– 	– 	– 	1 	3 	7 	8 	8 	8 	7 	6 	6 	5 	5 	5 	4 	4 	4 	4
35 	WV 	– 	– 	– 	– 	– 	– 	– 	– 	– 	3 	4 	4 	5 	6 	6 	6 	6 	5 	4 	4 	3 	3 	3 	2
36 	NV 	– 	– 	– 	– 	– 	– 	– 	– 	– 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	2 	2 	3 	4 	4
37 	NE 	– 	– 	– 	– 	– 	– 	– 	– 	– 	1 	3 	6 	6 	6 	5 	4 	4 	3 	3 	3 	3 	3 	3 	3
38 	CO 	– 	– 	– 	– 	– 	– 	– 	– 	– 	– 	1 	2 	3 	4 	4 	4 	4 	4 	5 	6 	6 	7 	7 	8
39 	ND 	– 	– 	– 	– 	– 	– 	– 	– 	– 	– 	– 	1 	2 	3 	2 	2 	2 	2 	1 	1 	1 	1 	1 	1
40 	SD 	– 	– 	– 	– 	– 	– 	– 	– 	– 	– 	– 	2 	2 	3 	2 	2 	2 	2 	2 	1 	1 	1 	1 	1
41 	MT 	– 	– 	– 	– 	– 	– 	– 	– 	– 	– 	– 	1 	1 	2 	2 	2 	2 	2 	2 	2 	1 	1 	1 	2
42 	WA 	– 	– 	– 	– 	– 	– 	– 	– 	– 	– 	– 	2 	3 	5 	6 	6 	7 	7 	7 	8 	9 	9 	10 	10
43 	ID 	– 	– 	– 	– 	– 	– 	– 	– 	– 	– 	– 	1 	1 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2
44 	WY 	– 	– 	– 	– 	– 	– 	– 	– 	– 	– 	– 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1
45 	UT 	– 	– 	– 	– 	– 	– 	– 	– 	– 	– 	– 	– 	1 	2 	2 	2 	2 	2 	2 	3 	3 	3 	4 	4
46 	OK 	– 	– 	– 	– 	– 	– 	– 	– 	– 	– 	– 	– 	– 	8 	9 	8 	6 	6 	6 	6 	6 	5 	5 	5
47 	NM 	– 	– 	– 	– 	– 	– 	– 	– 	– 	– 	– 	– 	– 	1 	1 	2 	2 	2 	2 	3 	3 	3 	3 	3
48 	AZ 	– 	– 	– 	– 	– 	– 	– 	– 	– 	– 	– 	– 	– 	1 	1 	2 	2 	3 	4 	5 	6 	8 	9 	9
49 	AK 	– 	– 	– 	– 	– 	– 	– 	– 	– 	– 	– 	– 	– 	– 	– 	– 	– 	1 	1 	1 	1 	1 	1 	1
50 	HI 	– 	– 	– 	– 	– 	– 	– 	– 	– 	– 	– 	– 	– 	– 	– 	– 	– 	2 	2 	2 	2 	2 	2 	2
